,text
54,"The disclosure added to suggestions that the plane had not responded to intended actions by the pilots. There has been no suggestion so far of terrorism or other outside interference in the functioning of the aircraft, which was only a few months old."
55,"In earlier evidence pointing to the possibility of an intrinsic problem with the Max 8 model, control issues were reported by the crew of the Lion Air Max 8 that crashed minutes after takeoff in Indonesia last October."
56,"Mr. Begashaw declined to specify what control problems may have led to the crash on Sunday, which killed all 157 people aboard."
57,China was the first major country to ground the jets. The U.S. was last.
58,"After the American government announcement grounding the Max planes, F.A.A. officials said the flight data and voice recorders recovered from the Ethiopian Airlines crash site, known as the black boxes, would be sent to France for analysis. Investigators believe they may be critical to determining the cause of the crash."
59,"Southwest Airlines, with 34 Max 8s, and American Airlines, with 24, are the largest operators of the aircraft in the United States. Both said they were working to rebook passengers and minimize schedule disruptions after the F.A.A. grounded the planes."
60,"At least two pilots who flew Boeing 737 Max 8 planes on routes in the United States had raised concerns in November about the noses of their planes suddenly dipping after engaging autopilot, according to a federal government database of incident reports."
61,"The problems the pilots experienced appeared similar to those preceding the October crash of Lion Air Flight 610 in Indonesia, in which 189 people were killed. The cause of that crash remains under investigation, but it is believed that inaccurate readings fed into the Max 8’s computerized system may have made the plane enter a sudden, automatic descent."
62,"In both of the American cases, the pilots safely resumed their climbs after turning off autopilot. One of the pilots said the descent began two to three seconds after turning on the automated system."
63,"“I reviewed in my mind our automation setup and flight profile but can’t think of any reason the aircraft would pitch nose down so aggressively,” the pilot wrote."
64,"A pilot on a separate flight reported in November a similar descent and hearing the same warnings in the cockpit, and said neither of the pilots on board was able to find an inappropriate setup."
65,"“With the concerns with the MAX 8 nose down stuff, we both thought it appropriate to bring it to your attention,” the pilot said."
66,"The complaints were listed in a public database maintained by NASA and filled with thousands of reports, which pilots file when they encounter errors or issues. The database does not include identifying information on the flights, including airline, the pilot’s name or the location."
67,"Another pilot wrote of having been given insufficient training to fly the Max 8, a new, more fuel-efficient version of Boeing’s best-selling 737."
68,"“I think it is unconscionable that a manufacturer, the F.A.A., and the airlines would have pilots flying an airplane without adequately training, or even providing available resources and sufficient documentation to understand the highly complex systems that differentiate this aircraft from prior models,” the pilot wrote."
69,The pilot continued: “I am left to wonder: what else don’t I know? The Flight Manual is inadequate and almost criminally insufficient.”
70,News of the incident reports was first reported by The Dallas Morning News and confirmed by The New York Times.
71,"Egypt, Vietnam and Kazakhstan banned flights by the Boeing 737 Max 8 aircraft on Wednesday. More than 41 countries have grounded the planes."
72,"Hong Kong, a Chinese territory with its own aviation authorities, also announced a ban in its airspace on Tuesday."
73,"Norwegian Air, a low-cost airline that has one of the largest Max 8 fleets outside the United States, said it would seek compensation from Boeing after European regulators had grounded the aircraft."
74,"“It is obvious that the costs incurred by the temporary grounding of brand-new aircraft should be covered by those who have made the airplane,” the company said."
75,"Belying its name, Norwegian flies routes all over Europe and beyond. According to the airline’s website, flights to European destinations were running with moderate delays and a handful of cancellations."
76,"In a message to passengers, the airline said that it had 18 Max 8 aircraft in its fleet of more than 160 planes."
77,"Norwegian had been operating the Max 8 from Providence, R.I. and Stewart Airport in New Windsor, N.Y. to Dublin. Norwegian announced Wednesday that it would now use a larger plane, the 787, for the flight from Stewart. Passengers from both airports will be rebooked on that flight, and Providence passengers will be bused to the other airport."
78,"For some Canadian travelers whose itineraries were upended by the decision to ground the Boeing Max planes, the reaction was not irritation but relief."
79,"Suzanne Waldman, returning home to Ottawa with her 11-year-old son after visiting her sister in Vancouver, had gone through airport security when WestJet informed them the flight had been canceled. Then she learned why: the plane was a 737 Max."
80,"“I didn’t want to look and see if we were on this aircraft today,” said Ms. Waldman, who knew one of the passengers on the Ethiopian Airlines flight that crashed. “I knew it was a little bit of an issue, and I didn’t want to worry.”"
81,"WestJet rebooked them with an overnight layover in Calgary, Alberta, and Ms. Waldman said she was very happy."
82,"Aaron Oram, returning home to Newfoundland from a family trip in Orlando, was stuck in Toronto because his connecting flight was canceled. When he learned the reason — the grounding order — Mr. Oram expressed approval."
83,"“I’m 100 percent for the safety aspect,” Mr. Oram said, “I’m a nervous flyer.”"
84,"Once known for deadly skies, China has doubled down on aviation safety as it grows in wealth and power. This week, as it took the lead among world governments in grounding the Max 8, China showed willingness to assert itself in airline safety."
85,"Chinese regulators acted swiftly, grounding 96 of the planes operated by Chinese carriers less than 20 hours after the Ethiopian Airlines crash on Sunday. Many other countries followed, but it was not until Wednesday that the Federal Aviation Administration in the United States grounded the planes."
86,"That is a big shift from a generation ago, when Chinese regulators largely followed the F.A.A.’s lead. Today, Chinese airlines are among the safest in the world, according to industry statistics."
87,[We answered readers’ questions about the Boeing 737 Max 8.]
88,"While regulators in much of the world have ordered temporary groundings of the Max models, the United Nations civil aviation agency said it would await definitive findings about what went wrong on Ethiopian Airlines Flight 302."
89,"“Once the final report into this accident is available we will have verified and official causes and recommendations to consider,” the agency, the International Civil Aviation Organization, said in a statement on Tuesday."
90,"The agency, based in Montreal, manages the Convention on International Civil Aviation, the agreement that ensures safe and orderly air travel around the world. According to its website, the agency works with United Nations member states and industry groups “in support of a safe, efficient, secure, economically sustainable and environmentally responsible civil aviation sector.”"
91,"Flying with an unhappy child is no fun for anyone, everyone knows that. But it wasn’t until I asked you for your tips, tricks and traumatic tales of babies on planes, that I realized I didn’t know exactly how many different victim groups were involved."
92,The kids are in misery. The parents are dying a thousand deaths from shame and frustration. The flight attendants suffer stress. And everyone else on the plane is either irritated or graciously pretending that they’re not.
93,"The stories you shared could fill a book, to be shelved under either humor or horror:"
94,"“I have a four-year-old, which is akin to having a monkey-cat hybrid,” wrote Wren West. During a departure delay, her son became a thrashing wild man. “If it didn’t cost $600, I would have just asked to be taken off the plane right then and there,” Ms. West noted. “I bet all 100 passengers would have pitched in.”"
95,"Matt Hubbard’s son was on his shoulders at baggage claim as he approached his parents, who had come to greet the flight. “Just as I was able to catch their eye,” he wrote, “my son threw up all over the top of my head, covering my glasses.”"
96,"On a recent flight, the woman sitting across from Roxann Steinberg “took a urine-soaked cloth diaper off her baby and wrung it out onto the carpeted aisle floor. She then put the ‘dry’ diaper back on the baby and resumed her magazine reading.”"
97,"Whether you’re a parent, a baby or someone trapped in the same flying metal tube with them, help is at hand."
98,"While you’re still in the airport, don’t break out the electronics, Lesley Golkin wrote. “Move around, talk, eat, play games. Don’t sit still until you have to!”"
99,"And hit the bathroom. “You want brand-new diapers and empty bladders all around,” she said."
100,"Many fliers board early, at the “traveling with small children” announcement. Brandon R. Cornuke, however, takes the opposite approach; why endure more time on the plane than necessary? “Wait until the last minute, overhead space be damned.”"
101,"Or, if you’re traveling with a fellow parent, steal Julie Murrell’s idea: “One parent boards early and stows baggage. The other parent boards last, giving the little ones maximum time to work off some energy.”"
102,Oh — and bring balloons.
103,"“Uninflated balloons don’t weigh anything and don’t take up any space,” noted Gwen Wong. During one delay at the airport, “we inflated the balloons, and instantly we had a fun game of knuckle volleyball. One of my better ideas.”"
104,"“A window seat is a must,” wrote Gina Sitaraman. (She undoubtedly means for your child.)"
105,"Jessie Keyt tries to get the bulkhead (front) seats, “so you can set up a little play area, with a blanket on the floor, out of the way of other passengers.”"
106,"When Debbie Ettington’s daughter was just old enough for her feet to reach the seat in front of her, “we chose seats that put one parent in front of her and one beside her. It was much easier to be the one whose seat was kicked than to deal with unsympathetic fellow travelers.”"
107,Ear pain from the changing cabin atmosphere is a frequent cause of crying or fussiness. Louise Joy’s best trick: “Have a bottle or drink ready — or breast feed — when you are taking off or landing. Drinking helps the baby or toddler clear their ears.”
108,"Carry lollipops; the sucking and swallowing relieves pressure problems, too. (And, as Alyson Cahill wrote: “They can also be used as bribes. Yup, I said it.”)"
109,"Some things to bring on board with babies are obvious, like plentiful snacks. And if your youngsters are explosion-prone, bring extra clothes (for them and for you)."
110,But here’s a frequently endorsed suggestion: A time-release goody bag.
111,"“I would always buy a few very small gifts, toys, etc. and wrap each one separately. Then I’d give one to my little boy every hour or two. Kept him entertained all the way,” recalled Chrissie Hill."
112,"For her two small sons’ gifts, Amy Howard used lots of tape, which, she wrote, “added time to the unwrapping.” (Upon reaching the destination, she’d rewrap the same items but swap recipient sons. Sneaky!)"
113,"What should these little gifts be? Puzzles, goldfish crackers (Ms. Howard); animal figures, books (Alexandra Matus); games, crayons (Jim and Ria Wallmann); dollar store items, Happy Meal toys (Katie Ryan-Anderson); and Matchbox cars and magnets (Beth Josolowitz) are all good suggestions."
114,"Plenty of passengers get peeved at parents when the kids are upset, but here’s a news flash: The parents already know."
115,"If you’re that parent, expressing your own self-awareness can work wonders. On a recent flight, a young couple handed, to my wife and other nearby passengers, a baggy containing apologetic tokens like candies and chocolates. A note read: “Hello! We’re twin baby boys on our first flight! We’d like to apologize in advance if we lose our cool, get scared or our ears hurt. We hope you have a great flight!”"
116,"Similarly, when her daughter was a baby, Amy Adams Harding handed out earplugs. “That simple gesture seemed to diffuse the dismay of those unlucky enough to get seated near a lap child.”"
117,"Most of your suggestions for surviving toddler transit terror involved supplying distractions. Of course, there are always phones or tablets, but electronics aren’t the only options:"
118,"Pipe cleaners. “They can be twisted around fingers, pens and other objects to make instant, unique toys that can be straightened and repeatedly recreated,” wrote Vicki Lee. “Fold under the wire ends to avoid sharp pokes.”"
119,Ms. Josolowitz brought Cheerios as well. “My son and I threaded the pipe cleaner through the Cheerios to make a (partially) edible bracelet.”
120,"Ice cubes. A flight attendant suggested this one to Deborah Fels: Put some ice cubes into a couple of airline cups. “Little kids are usually fascinated with the movement, sound and the visual of ice and clear plastic.”"
121,Sticky things. Many of you mentioned the miracle of mild adhesive.
122,"Ruth Martins: “Painter’s tape provides endless entertainment (stick it on your nose, make a bandage, create a road for a car), doesn’t leave residue and is disposable.”"
123,"Victoria Wilson: “Band-Aids.” Her two-year-old “spent at least an hour methodically taking each one out of the box, carefully unwrapping it and then moving onto the next. Worth every penny.’”"
124,"Lisa Bain: “Post-it notes. Tell your toddler it’s her job to decorate the window, the tray table, the seat back, your face, whatever. Have her scribble something on each note and stick it up.”"
125,Ramona Layne: “Bring a sticker book they’ve never seen before.”
126,"Soapy things. On one international flight, Megan Wyatt walked her almost-two-year-old to the bathroom. “He pumped the foamy soap, squealed with delight as he lathered up, rinsed and walked back. Walk, lather, rinse, walk back, repeat. For 11 hours.”"
127,Beth Martin went with shaving cream. “Hoist him onto the sink and let him finger-paint on the mirror. It worked like a charm and cleaned up easily.”
128,"(Speaking of the bathroom: Once Laurel Braun made it there with her hysterically crying son, the engine drone “calmed him right down. It was like magic.” It also makes a superb soundproof booth of last resort.)"
129,"You, dear readers, seem polarized on the topic of slipping your offspring a sleep-inducing medicine like Benadryl — even when your pediatricians made the recommendation."
130,"Apparently, the concern isn’t the moral principle of drugging your child; it’s that Benadryl sometimes makes kids wired, not tired. “Our 18-month-old ‘lap child’ spent the flight running up and down the aisle of the plane,” remembered Carrie Stewart."
131,"Dozens of you wrote not of pipe cleaners and shaving cream, but of understanding. “Being supportive to parents in their worst moments, when they have no control over their environment, should be the norm, not the exception,” noted Catherine Pearlman."
132,"Indeed, many readers described deriving pleasure from chatting with young seatmates (Dina A. Gamboni); exploring the pictures in the airline magazine with them (Sandra Wilde); playing peek-a-boo through the seat cracks (Barbara Mohon); or making puppets from the airsickness bags (Daria Gideos)."
133,"Ms. Joy goes even further. “Help the parents out. Watch one of the kids while the parent takes the other to the bathroom. Help with the overhead bin.” Less stressed parents, she notes, often leads to happier kids, too."
134,"Dozens of people wrote that they still remember these kindnesses years later. (Regina Ottman, in fact, wishes to post a personal ad here. “If you were on that flight from Vietnam/Korea to Newark Liberty International Airport in June 1999 and offered to hold a tired baby so her parents could rest: We have thought of you often over the years, and we wish you every blessing!”)"
135,"Finally, one last recommendation for harried parents, supplied by Ariane Le Chevallier: “Have one glass of wine or one cocktail. One takes the edge off. Two makes you leave things on the plane.”"
136,"In the next Crowdwise: What are some of the wisest — or worst — words of wisdom anyone’s ever told you? Passing along advice is a standard component of parenting, grandparenting and mentoring — but one person’s counsel doesn’t always work for the next. Let us know the circumstances, the aftermath, and whatever new advice you took away from the experience. Email us at crowdwise@nytimes.com by March 25."
137,"LONDON — Emiliano Sala, a soccer player who recently moved to the English Premier League, was aboard a small airplane that disappeared Monday night while crossing the English Channel, and he and the pilot are feared dead, the authorities said on Tuesday."
138,"John Fitzgerald, chief officer for Channel Islands Air Search, said that an air and sea operation would continue, but he did not expect to find either survivors or parts of the aircraft."
139,"“I think we’re sort of getting to that stage now that it would be difficult to find anyone alive,” Mr. Fitzgerald, 58, said in a telephone interview on Tuesday. “The cold would have taken effect. The tide flows so fast, there’s the wind and a lot of white water — it’s more and more unlikely for the chance of survival.”"
140,"France’s Civil Aviation Authority confirmed that Mr. Sala, 28, who was about to begin playing for the club Cardiff City, was on the plane along with the pilot. Edwige Leroy, a spokeswoman for the agency, said it was not yet sure whether anyone else was aboard."
141,"The police in Guernsey, an island in the Channel, said two people were on the plane."
142,"Mr. Fitzgerald said it was unclear why the aircraft had disappeared. “We don’t know whether it was system failure,” he said."
143,"The Piper Malibu plane — a single-engine, propeller-driven aircraft — departed Nantes, a city in western France, at 8:15 p.m. local time — 7:15 in Britain — on Monday, headed for Cardiff, the capital of Wales."
144,"By 8:23 p.m. in Britain, it had disappeared from air traffic control radar, about 15 miles north of Guernsey, the Guernsey police said in a statement."
145,"“The aircraft on passing Guernsey requested descent,” the Guernsey police said."
146,"They did not say why the pilot would have wanted to descend so far short of the destination, but Mr. Fitzgerald speculated that it could have been to avoid freezing conditions and precipitation."
147,"“They were possibly trying to get underneath the weather,” he said."
148,"The plane was flying at an altitude of 2,300 feet when it lost contact."
149,"A search-and-rescue operation started Monday evening in heavy seas and continued on Tuesday, with British and French helicopters, airplanes and ships taking part. The search was suspended at dusk on Tuesday, with plans to resume on Wednesday morning, the Guernsey Police said."
150,"The plane’s disappearance could be the second air-related tragedy for the Premier League in a short span. Less than three months ago, Vichai Srivaddhanaprabha, the owner of Leicester City, died when his helicopter crashed as it was leaving the stadium."
151,"Mr. Sala, a 28-year-old forward from Argentina, enjoyed a rapid rise to prominence relatively late in his career. At one point this season, playing for Nantes in the French league, he had scored more league goals than any other Argentine player in Europe’s major leagues — a list that includes the likes of Paulo Dybala of Juventus, Mauro Icardi of Inter Milan and Lionel Messi of Barcelona."
152,"Mr. Sala left his homeland for Europe at the age of 16. After attracting attention from several teams in England and Spain, he was initially recruited to join the youth development system at Girondins de Bordeaux, spending time on loan to Orleans, Niort and Caen as a teenager."
153,"In 2015, he signed with Nantes for 1 million euros, more than $1.1 million."
154,"He proved to be a reliable, if unspectacular, striker — the “sort you do not see much any more,” according to the Nantes team manager, Vahid Halilhodzic. But this season he had a run of 12 goals in 16 Ligue 1 games, which made him, for a while, the most prolific striker in the country."
155,"His form was sufficiently impressive for Cardiff City to pay 15 million pounds, or more than $19 million, to sign him — a record for the club. Desperate for some offensive power, the team ranked next-to-last in scoring among the 20 Premier League teams, and had played a converted defender as its main striker for much of the season. It was in danger of relegation."
156,"Mr. Sala was in Nantes on Monday to say goodbye to his teammates, according to The Guardian. He was scheduled to start training with Cardiff City on Tuesday morning."
157,"The Nantes team postponed a match that had been scheduled for Wednesday against L’Entente, a club in France’s third tier."
158,"DHAKA, Bangladesh — Special forces troops stormed a plane on the tarmac of a Bangladesh airport on Sunday, fatally shooting a passenger who sought to speak with the country’s prime minister, officials said on Monday."
159,"Biman Bangladesh Airlines Flight 147 had been traveling to Dubai from Dhaka, the Bangladeshi capital. The domestic passenger, identified by the police as Mohammed Polash Ahmed, tried to storm the cockpit about 15 minutes after takeoff on Sunday afternoon, forcing the pilot into making an emergency landing in Chittagong, where the plane had been scheduled to make a stop."
160,"A senior official with Biman Bangladesh Airlines, speaking on condition of anonymity, said seven crew members and 143 passengers, including Mr. Ahmed, who was in his mid-30s, were aboard the plane."
161,"After landing at Shah Amanat International Airport on Sunday evening, all but one crew member — who was kept as a hostage but not harmed — were evacuated, the official said."
162,Military commandos then rushed the plane and shot Mr. Ahmed after he refused to surrender.
163,"Mohammad Mufti Mahmud Khan, a spokesman for the Rapid Action Battalion, a Bangladeshi police force comprised of military personnel, said in an interview that investigators had taken Mr. Ahmed’s fingerprint and matched it in a criminal database."
164,"Mr. Khan would not elaborate on the case against Mr. Ahmed, who lived in a district near Dhaka, the nation’s capital. But he said there was no evidence at this point that Mr. Ahmed had links to terrorist groups that have struck before in Bangladesh, a predominantly Muslim nation of about 160 million people."
165,"“We are trying to get more information abut his old case,” he said."
166,"In July 2016, a group of young men entered the upscale Holey Artisan Bakery in Dhaka with heavy bags of weaponry, including grenades. They sorted out non-Muslim and foreign diners and killed 20 hostages and two police officers using guns and machetes."
167,"The attack, which was claimed by the Islamic State, was the most ambitious by insurgents in the region in recent years, and evidence that Bangladesh’s militant networks may have internationalized."
168,"Passengers and officials initially told reporters that Mr. Ahmed had been carrying a pistol and had claimed to have a bomb on the aircraft. One passenger, Osman Gani, said Mr. Ahmed, who was sitting in the 17th row, had threatened to shoot people shortly after takeoff."
169,"“He also fired several rounds, leaving the passengers panicked,” Mr. Gani was quoted as saying by the Dhaka Tribune."
170,"But later, a local police commissioner, Mahabubor Rahman, said the pistol was a fake. And on Monday, Mohibul Haque, the secretary of Bangladesh’s civil aviation and tourism ministry, would not confirm that Mr. Ahmed was carrying a weapon — real or fake — of any kind."
171,"Officials said that during the standoff, the suspect told army officials that he wanted to speak with his wife and Bangladesh’s prime minister, Sheikh Hasina."
172,"Mrs. Hasina had been in Chittagong, a large port city officially known as Chattogram, earlier on Sunday, but returned to Dhaka, about 150 miles northwest, before the hijackinging attempt took place, the Dhaka Tribune said."
173,"M. Naim Hassan, the chairman of Bangladesh’s Civil Aviation Authority, told reporters that Mr. Ahmed appeared “mentally imbalanced” based on his behavior."
174,"Moniruzzaman, a police officer in Mr. Ahmed’s home district who goes by only one name, said in an interview that he was known locally “as a cheater.”"
175,"“He used to take money from people, making promises that he would send them abroad for work, or he would give them a job in the country,” Mr. Moniruzzaman said."
176,"Mr. Ahmed died before reaching a Chittagong hospital, officials said. It was unclear as of Monday how he had managed to board the flight, a Boeing 737-800, with what looked like a gun."
177,"In December, Bangladesh’s governing party handily won parliamentary elections, clinching a third consecutive term for Mrs. Hasina. But local and international rights organizations accused the party, the Awami League, of creating an intimidating atmosphere by arresting and harassing opposition candidates and preventing them from campaigning."
178,"Biman Bangladesh Airlines, the national flag carrier, was established in 1972, according to the Australia-based CAPA Center for Aviation. It operates domestic passenger service across Asia and Europe."
179,"A small plane crashed into a Southern California home on Sunday, killing five people, injuring two others and spraying debris across several residential blocks that temporarily became a site of chaos."
180,"The crash, which occurred around 2 p.m., killed four people inside the Yorba Linda home — two men and two women — as well as the plane’s male pilot, Lt. Cory Martino of the Orange County Sheriff’s Department said at a news conference on Sunday. Officials said the pilot had been the only person on the aircraft; the relationship between the four people inside the home was not clear."
181,"An investigator with the National Transportation Safety Board, Eliott Simpson, said the plane left Fullerton Airport at 1:35 p.m. It traveled about 10 miles and had climbed to about 7,800 feet, he said, before making a “rapid descent” into Yorba Linda, a sleepy suburban city 10 miles northeast of Disneyland."
182,"On Monday, the authorities identified the pilot as Antonio Pastini, 75, of Gardnerville, Nev. — a retired Chicago police officer. They did not release the names of the four other people who were killed or disclose the exact cause of their deaths."
183,"Two other people were taken to a hospital Sunday with what the authorities described as “moderate injuries,” though they did not elaborate."
184,"Video posted on Twitter by a man who said he lives near the site of the crash showed several-foot-high flames knifing through the roof of a home on a winding street. In the video, there are occasional explosive pops, and neighbors urge each other to “get away” from the burning residence."
185,"The man, Joshua Nelson, later posted a photo of what appeared to be wreckage from a plane strewn across a neighbor’s driveway and lawn."
186,"“The plane blew up in the sky,” Jared Bocachica, who witnessed the crash, told the local news station KTLA."
187,"At the news conference, Mr. Simpson said debris from the plane, a 1981 Cessna, was scattered as far as four blocks from the crash site. Officials later said that more than a dozen homes had been littered with debris from the Cessna, adding that the fuselage ended up in someone’s yard."
