,text
71,"T’s Wellness Guide to New York. A shortlist of places to find wholesome food, a good workout and all-natural beauty treatments — with or without crystals."
72,Everything you need to know about measles. 
73,Taking a break? Resetting? Is that possible? 
74,A survey finds that secrets are harmful to your mind. 
75,Misplaced keys can indeed be found.
76,Strategies to pay off never-ending student loans. 
77,Dear Diary:
78,I was biking west on 21st Street when I came to a barrier between Second and Third Avenues. 
79,"Whatever, I thought. I’m on a bike. "
80,"As I rode past the barrier, I noticed several police vans parked along one side of the street. The only sound was the click of a shutter. Looking around, I saw a photographer kneeling down and taking pictures of something I couldn't see. "
81,"I was continuing on when I had to stop suddenly. What looked like the entire 13th Precinct was standing there dressed in their finest, posing for what I figured was their annual photo. "
82,About 20 officers turned toward me. I swallowed nervously. 
83,They laughed and waved me on through.
84,"“Give it a good kick for us,” one of them yelled as I pedaled away."
85,— Sydney Scott
86,Dear Diary:
87,I was stepping up to order at Planet Smoothie in Penn Station when a man who had just gotten a smoothie stomped back to the counter. 
88,“What’s in this?” he said. 
89,The cashier looked nonplused.
90,“Which one did you order again?” he said. 
91,The man waved at the board on the wall. The cashier continued to have a nervous look on his face.
92,"“It looks like strawberries, blueberries, nonfat yogurt,” he said."
93,"“I can read,” the man said. “But it doesn’t taste like it.” "
94,The people waiting behind me began to shuffle impatiently. The cashier shrugged and shifted his feet. Two other employees moved in closer. I started contemplating whether a smoothie was worth waiting out this scene for. 
95,“I can make you another one if you like?” the cashier said.
96,There was a pause. 
97,"“Nope, that’s all right, it’s good, ” the man said. “I like it and I was just hoping for the recipe to make it at home.”"
98,— Janine Yoong
99,Dear Diary:
100,"It was spring 1968, and my classes at Columbia University had been suspended because of student protests. I had also just quit my part-time job as the social secretary for a wealthy older man. He was not giving me enough hours for me to survive in New York."
101,"So it was with a “What do I do now?” feeling that I decided to walk from near Central Park down Fifth Avenue toward 34th Street, where I had plans to meet friends for dinner."
102,"I took my time, stopping to gaze in the store windows. One was a framing and print shop. I was startled when an older man who had apparently been watching me from inside knocked on the window. Before I knew it, he had come outside and was talking with me."
103,He said I looked a bit down. I told him I had just quit my job. He commiserated with me. He told me he had just broken up with his girlfriend. I commiserated with him.
104,"“Let me take you to lunch,” he said. His favorite restaurant was not far away. Since I had nothing to do until dinner, I agreed."
105,"We had a wonderful lunch, and the conversation never stopped. It was as if we were two old friends."
106,"We returned to the shop and he invited me in. He sorted through some drawers and boxes, and then he handed me two beautiful small wooden frames. He insisted on wrapping them before I went on my way."
107,"I left the city that summer to get on with my life. The frames have housed two lovely paintings for 50 years. When I look at them, they evoke a crystal clear memory of my lunch with a stranger."
108,— Carol C. Neely
109,Dear Diary:
110,"We went to see Elton John at Madison Square Garden. Not an empty seat in the place, and he still rocks the house. The music covered us like a favorite old sweater. "
111,"There was one big difference between the show at the Garden and the concerts of our youth. Instead of the smell of pot, there was a pronounced odor of Vicks in the air. "
112,— Jack Hartog
113,Dear Diary:
114,"I couldn’t help but bristle at the woman throwing herself into the packed M train at the last minute, even though I had just done the same thing myself. She jostled me far too close to a man there in the car. He was clearly unhappy."
115,"“Come on,” he said as the woman cleared the closing doors. “Wait for the next one.”"
116,"My backpack was dangling from my left hand. My book was in my right. When I was ready to turn the page, my left hand was tucked too tightly at my side to be any help. I tried sliding my right thumb beneath the page, but that didn’t work. "
117,I had just decided to wait until the next stop to turn the page when the man I had been shoved into used his empty hand to turn it for me.
118,— Anna Gabianelli
119,Read all recent entries and our submissions guidelines. Reach us via email diary@nytimes.com or follow @NYTMetro on Twitter.
120,Illustrations by Agnes Lee
121,"SANTA ANA, Calif. — For its members, a motorcycle club’s logo is both sacred and hard-earned, the banner under which its brand of rugged brotherhood and individualism exist."
122,"But in a setback to the future of one of the country’s most notorious biker groups, a federal jury in California on Friday found that the Mongols motorcycle club must forfeit its rights to the trademarked Genghis Khan-style emblem that identifies the organization."
123,"The jury’s verdict — which concluded the second phase of a wide-ranging eight-week racketeering trial in which jurors also branded the Mongols a criminal enterprise — was not the final word. The group’s lawyers have filed a motion for acquittal and the presiding judge, who in the past has ruled in favor of the Mongols, said he would not immediately order the club to forfeit the logo until he has a chance to review the club’s arguments and consider their free speech rights."
124,"Going after their trademark, which prosecutors have sought for a decade, was an innovative approach intended to break the Mongols by striking at its visual identity, a patch that has been linked to the organization’s culture of violence and intimidation and appears on the vests, T-shirts, caps, mouse pads and motorcycles of hundreds of its members, many of whom also have tattoos of the image."
125,"The Santa Ana, Calif., jury last month convicted the biker club of racketeering, and racketeering conspiracy for the crimes of murder, attempted murder and drug dealing committed by individual members over the past dozen years."
126,"In addition to the logos, the jury found Friday that the government could keep various items bearing the mark — including vests, clothing and documents such as the Mongols’ constitution — as well as a number of guns, ammunition and armored vests it had seized in earlier raids against the group. But the jury denied forfeiture rights for belt buckles, jewelry, lighters, bandannas, stickers, and motorcycle parts — apparently unable to find the “required nexus” between the items and the group’s criminal activity."
127,"Friday’s verdict confounded Mongols members and their lawyers. Stephen Stubbs, the club’s general counsel, described the outcome as “very strange” because the jury did not find the logo forfeitable on the count of racketeering, but did so on the racketeering conspiracy count."
128,"“How can we make sense out of that?” Mr. Stubbs said, adding that it appeared to be a compromise verdict, one agreed upon so the jury could go home after long days of deliberations. “So, we continue to fight so that Americans can’t be banned by the government from wearing symbols.”"
129,[Read: How to Crush an Outlaw Biker Club: Seize Its … Logo?]
130,"Robert Draskovich, a Las Vegas lawyer who has represented the Hells Angels and the Bandidos on criminal matters, said that while the verdicts were a potential “death blow” for the Mongols, the outcome was also foreboding for other motorcycle clubs that have been the focus of law enforcement ire over the years."
131,"“I would say that other clubs are now liable and in danger of being targeted, trampled on and dismantled,” Mr. Draskovich said."
132,"Because the case was focused on the organization itself, no members or associates faced any time behind bars."
133,"But in many ways, some lawyers said, stripping the club of its identifying mark was worse."
134,"“It is the holy of holies,” said Fritz Clapp, a lawyer who has done intellectual property work for the Hells Angels and the Devils Diciples motorcycle clubs."
135,"Indeed, “everyone in the bike gang business agrees that you never want to lose your colors because it shows you can’t defend your turf,” Terry Katz, a board member of the International Outlaw Motorcycle Gang Investigators Association, said in an interview. “And without that set of colors, you are not rock stars.”"
136,The emblem at issue is a black-and-white rendering of the word “MONGOLS” over a drawing of a cartoonish Genghis Khan-like figure sporting a queue and brandishing a sword while riding a chopper motorcycle.
137,Other lawyers opined that the forfeiture verdict would not hold up on constitutional grounds.
138,"“It is clearly an overreach to sweep up all innocent people by virtue of being part of a motorcycle club,” said Richard Gaxiola, a Phoenix lawyer who has represented the Hells Angels for 15 years."
139,"United States District Judge David O. Carter, who has scheduled a hearing for Feb. 28, acknowledged that the verdicts would likely face constitutional challenges. Talking to lawyers in the case last month, without the jury in the courtroom, Judge Carter said that since the “forfeiture provision is quite literally without limitation, it may exceed constitutional bounds in a particular case.”"
140,"The government has long sought the group’s trademarked patch. A seizure order a decade ago was unable to withstand a constitutional challenge after a Mongols member, Ramon Rivera, who was not indicted on any criminal charges, filed a complaint with the help of the American Civil Liberties Union and successfully argued that the confiscation of Mongols items violated his First Amendment and due process rights."
141,Experts in intellectual property law said that efforts to gain control of the trademark rights to the logo were not enough to claim ownership of them.
142,"“You are only a trademark owner if you are using it in commerce or as a collective membership mark, like the Mongols,” said Viva Moffat, a professor at the University of Denver’s Sturm College of Law who specializes in intellectual property law."
143,"During the trial, prosecutors for the United States attorney’s office for the Central District of California argued that the Mongols club was a violent criminal enterprise to its core and that its leaders were aware of the illicit activities of its members and associates."
144,"Prosecutors presented the jury with a battery of crimes over the years allegedly carried out by Mongols members, ranging from drug dealing to firearms offenses to murder, including the fatal shooting of a Pomona, Calif., police officer in 2014."
145,"Assistant United States Attorney Steven R. Welk told the jury this week that the Mongols club was a gang that had been “a beehive of pernicious criminal activity” since it was founded in Montebello, Calif., in 1969."
146,"“These men, fueled by, based on the evidence which you’ve heard, by rage and methamphetamine, empowered by these symbols that they wear like armor, roaming the world like urban predators searching for people to victimize,” Mr. Welk said."
147,"The roots of the government’s case date back to 2005, when undercover agents from the Bureau of Alcohol, Tobacco, Firearms and Explosives set out to infiltrate the Mongols. Known as Operation Black Rain, it was a notably large undertaking for the A.T.F., a three-year investigation in which four agents managed to become full members."
148,"The result was a jarring blow to the club. In October 2008, a grand jury returned an 86-count federal racketeering indictment against 79 Mongols, alleging crimes from murder to drug trafficking to money laundering. The lead defendant was Ruben (Doc) Cavazos, the club’s national president until he was voted out weeks before the charges were filed. Except for one defendant who died in custody and another who was deemed incompetent, all those charged eventually pleaded guilty."
149,"Calling the prosecution’s case “the best book of fiction I’ve ever heard in my life,” Joseph A. Yanny used part of his closing statements last month to assail the integrity of the A.T.F. He argued that its agents used entrapment and lies to build their cases against the Mongols."
150,"Mr. Yanny also stated that crimes carried out by Mongols were “spontaneous rogue acts of individuals” that were not hatched or approved by club officers. Referring to the brutal 1991 beating of Rodney King by a group of Los Angeles police officers, he told the jury “that doesn’t make the L.A.P.D. a criminal organization.”"
151,"This week, Mr. Yanny told the jury before it deliberated over the fate of the Mongols marks, “It’s the death penalty phase of this case. Have they made mistakes? We never denied that they have. Have they cleaned up their act? You bet they have.”"
152,"The case has highlighted how resolved prosecutors are to hobble motorcycle organizations like the Mongols, which rely on striking optics to convey an air of toughness and intimidation, and how determined biker groups are to protect their logos."
153,"David Santillan, the national president of the Mongols, said in an interview that the club has spent more than $1.5 million in lawyers’ fees over the last 10 years to fight the government’s charges. “You can’t put a price on our patch,” Mr. Santillan said. “It’s priceless.”"
154,"Twenty years ago Sunday, a fire deep inside an Alpine tunnel killed 39 people and turned a motorcycle-riding security guard who worked there into a hero. In the chaos just after the blaze, local French and Italian newspapers reported that the biker had raced in and out of the burning tunnel, saving as many as 10 people before dying in one last rescue attempt."
155,"It was some time before investigators released a final, accurate account of the disaster at the Mont Blanc Tunnel: The biker, who was known by his nickname, Spadino, an Italian riff on his skinny frame, had not saved anyone. But he died trying to do so, and local bikers still gather at the tunnel mouth once a year to honor him."
156,"While the legend was exaggerated, the horror of the fire — and its impact on tunnel safety — cannot be overstated. The lessons of the tragedy have guided tunnel design and engineering ever since, including recent American projects like the Port of Miami Tunnel and Seattle’s new S.R. 99 Tunnel."
157,"The Mont Blanc Tunnel opened to traffic in 1965. When built, it was the world’s longest road tunnel, linking the French and Italian highway systems and shortening truck routes between Italy’s industrial north and other parts of Europe. It had been open nearly 35 years without a single fatal incident until the morning of March 24, 1999."
158,[Read the original Times coverage of the 1999 fire at the Mont Blanc Tunnel.]
159,"Around 11 a.m., a Volvo FH12 tractor-trailer, registered in Belgium, stopped to pay the toll. It was an ordinary truck with ordinary cargo: nine tons of margarine and 12 tons of flour."
160,"To this day, no one can say with certainty why the rig caught fire. The driver, who had been alerted to a problem by oncoming vehicles, stopped almost in the middle of the 7.2-mile tunnel. When he climbed out of the cab, flames burst from under the truck, and he leapt back. Witnesses reported that the fire had very quickly become too intense to drive past."
161,"Spadino — Pierlucio Tinazzi, who got his nickname, Italian for a thin, light sword, when he was young — was just outside the French portal on his motorcycle. It’s not clear whether he suspected trouble or thought he was making a routine trip back to the Italian portal. Regardless, he followed a few other heavy trucks in."
162,Mr. Tinazzi was most likely the first tunnel employee to realize the Belgian truck was trailing smoke. The last few drivers who made it into France said the motorcyclist had appeared to be trying to catch up to the burning truck.
163,"He never quite got there. Near the fire, he came upon Maurice Lebras, a French truck driver who was unconscious. In his last radio communication with the control room, Mr. Tinazzi said he had dragged the trucker into a fire refuge off the main tunnel. He closed the fire door and waited."
164,The refuge had a fire door rated to a “four-hour” standard. The fire burned for 50 hours.
165,"A few minutes after Mr. Tinazzi rode in, two trucks from the Chamonix Fire Department arrived carrying 14 firefighters. They plunged into thick, toxic smoke. Moments later, the fire melted the wiring for the lights, plunging the tunnel into darkness. Their trucks stuck now, the firefighters retreated into two refuges."
166,"In the tunnel, the margarine had melted and then turned into a highly flammable vapor. A strong breeze created a blast-furnace effect, igniting the fuel in other abandoned vehicles. Temperatures reached 1,000 degrees Celsius, or 1,800 degrees Fahrenheit."
167,"Five hours later and with no time to spare, a rescue crew reached the firemen via a ventilation duct. All of them survived but their commanding officer, who died in a hospital."
168,It was a week before the tunnel cooled enough for forensic investigators to recover bodies. Most of the victims had almost certainly suffocated before they burned. That was a small mercy.
169,"The blaze was traumatic for the close-knit Alpine communities of the French Haute-Savoie region and Val d’Aosta in Italy. Compounding the emotional toll, a lengthy renovation closed the tunnel and hurt tourist traffic."
170,"The region needed a hero, and soon after the fire, the government of Italy honored Mr. Tinazzi with a gold medal for civilian bravery. The International Motorcycle Federation, the world governing body of motorcycle sport, presented its highest award to his family. Its citation, like those early newspaper reports, credited Mr. Tinazzi with saving several people, even though the legend of the biker-hero “had been woven by the Italian media before anyone knew exactly what had really happened,” said Antoine Chandellier, a French journalist who has reported on the region for decades."
171,The magnitude of death and destruction reverberated widely. It so shocked civil engineers who specialize in tunnel construction that many remember where they were when they learned the news.
172,"William Connell, a tunnel systems engineer, was working on the enormous tunnel project known as the Big Dig in Boston at the time of the fire. “Initially, there was a lot of conjecture, and uneasiness, about how a fire of that size could become so deadly and produce so much damage,” Mr. Connell said."
173,"Before Mont Blanc, tunnel engineers were divided on the benefit of sprinkler systems. Concerns included impaired visibility for motorists as well as reliability and maintenance costs. Only five United States road tunnels had been equipped with sprinklers."
174,"“When the full report on the Mont Blanc fire finally came out, it was evident that additional measures of fire protection and emergency response planning would have reduced the significance of the fire,” Mr. Connell recalled."
175,"In the United States, the National Fire Protection Association publishes a document with a dry title but life-or-death consequences: “NFPA 502: Standard for Road Tunnels, Bridges and Other Limited Access Highways.”"
176,"Mr. Connell served as chairman of the association’s technical committee on tunnel safety from 2005 until 2015. After the Mont Blanc report highlighted the French and Italian operators’ lack of preparedness, the committee made formal emergency response plans and regular training exercises part of the standard. Recognizing that road tunnels were more common in Europe, Asia and Australia, he recruited international expertise to the committee."
177,"The association writes standards, not laws; it’s up to the local authorities to adopt them. When the Florida Department of Transportation decided to construct its first major road tunnel in 2010, the association’s 502 standard was incorporated into the Florida Fire Prevention Code."
178,"Chris Hodgkins is the chief executive of Miami Tunnel, the company that built and operates the three-quarter-mile tunnel connecting the Port of Miami with the Interstate highway system. The tunnel diverts traffic that used to crawl through downtown."
179,"“We learned from Mont Blanc that people don’t die from the fire — they die from the fumes and smoke,” Mr. Hodgkins said. “We have 44 jet fans that can operate in either direction, so we can suck air away from the fire, so toxins don’t affect people in the tunnel.”"
180,"The Miami tunnel is a “twin-bore” tunnel, with a separate passageway for traffic in each direction. It has cross-passages every 450 feet so that, in a fire, people can escape through the other tunnel."
181,"In Seattle, the recently opened S.R. 99 Tunnel carries two stacked roadbeds, in an immense single-bore tunnel under downtown, running for nearly two miles. It includes heat detectors that can locate a fire to within 10 feet, and, as in Miami, a deluge system can dump several tropical rainstorms’ worth of water into a fire zone, while leaving the rest of the tunnel dry."
182,"Brian Russell, the civil engineer who served as project manager on the S.R. 99 Tunnel, said the boring machine was 57½ feet in diameter, providing room for spaces for safety systems in addition to the roadways."
